                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.39912,                0.41181,                0.87317,                0.93658,                0.89343,                0.94878,                0.84799,                 0.5182,                0.47641,                0.92374,              0.0010081,              0.0010081,              0.0010081
                    122,                0.43888,                0.40224,                0.85591,                0.88795,                0.90909,                0.93734,                0.83486,                0.51173,                0.48768,                0.92715,              0.0010046,              0.0010046,              0.0010046
                    123,                0.40436,                0.40357,                 0.8492,                0.92082,                0.86158,                0.93126,                0.83404,                0.51372,                 0.4765,                0.92032,              0.0010011,              0.0010011,              0.0010011
                    124,                0.41885,                0.40413,                 0.8414,                0.93279,                0.90159,                0.93316,                0.83399,                0.51495,                0.49221,                0.91109,             0.00099751,             0.00099751,             0.00099751
                    125,                0.43773,                0.42471,                0.84787,                0.90696,                0.90824,                0.94427,                0.84483,                0.49733,                0.48261,                0.90919,             0.00099398,             0.00099398,             0.00099398
                    126,                0.43518,                0.41129,                0.85361,                0.90451,                0.93939,                0.94635,                0.85145,                0.47603,                0.47442,                 0.9034,             0.00099044,             0.00099044,             0.00099044
                    127,                0.41988,                0.40718,                0.83685,                0.90645,                0.96969,                0.94122,                0.82973,                0.48465,                0.46664,                0.89781,              0.0009869,              0.0009869,              0.0009869
                    128,                0.40477,                 0.3857,                0.83857,                0.94922,                0.93939,                0.94279,                 0.8441,                0.47036,                 0.4672,                0.89056,             0.00098337,             0.00098337,             0.00098337
                    129,                0.40684,                0.39537,                 0.8644,                0.92237,                0.93939,                0.95043,                0.86342,                0.46299,                0.46536,                0.88749,             0.00097983,             0.00097983,             0.00097983
                    130,                0.44185,                0.40628,                0.84539,                0.93132,                0.93939,                0.95102,                0.88154,                0.45347,                0.45533,                 0.8797,             0.00097629,             0.00097629,             0.00097629
                    131,                 0.3985,                0.39048,                 0.8528,                0.91242,                0.93939,                0.94837,                0.87498,                0.45244,                0.44613,                0.87731,             0.00097276,             0.00097276,             0.00097276
                    132,                0.42125,                0.39689,                0.85929,                0.90765,                0.93939,                0.94638,                0.86055,                 0.4517,                0.44876,                0.87856,             0.00096922,             0.00096922,             0.00096922
                    133,                0.41547,                0.40085,                0.87344,                0.93071,                 0.9697,                0.96817,                 0.8781,                0.45571,                0.41907,                0.88383,             0.00096568,             0.00096568,             0.00096568
                    134,                0.45437,                 0.4007,                0.86553,                0.93092,                0.96082,                0.97562,                0.86416,                0.44895,                0.42828,                0.87841,             0.00096215,             0.00096215,             0.00096215
                    135,                0.39081,                0.37715,                0.84231,                0.89505,                0.93939,                0.96779,                0.86199,                0.48612,                0.44282,                0.89655,             0.00095861,             0.00095861,             0.00095861
                    136,                0.38818,                0.37433,                0.84139,                0.91278,                 0.9697,                0.96917,                0.86178,                0.48055,                0.44304,                0.89127,             0.00095507,             0.00095507,             0.00095507
                    137,                0.40512,                0.40167,                0.84318,                0.92156,                      1,                0.98214,                0.87998,                0.45424,                0.42105,                 0.8764,             0.00095154,             0.00095154,             0.00095154
                    138,                0.41093,                0.38869,                0.84669,                0.92345,                      1,                0.98584,                0.87573,                0.46681,                0.42776,                0.88093,               0.000948,               0.000948,               0.000948
                    139,                0.38413,                0.38895,                0.86858,                0.91968,                0.98737,                0.99038,                0.88483,                0.48239,                0.43491,                0.88496,             0.00094446,             0.00094446,             0.00094446
                    140,                0.40085,                0.38403,                0.84181,                 0.9224,                0.99558,                  0.995,                0.89753,                0.47904,                0.42303,                0.88142,             0.00094093,             0.00094093,             0.00094093
                    141,                0.40017,                0.39243,                0.84275,                0.92652,                0.98321,                  0.995,                 0.9227,                0.44095,                0.39882,                0.86999,             0.00093739,             0.00093739,             0.00093739
                    142,                0.39932,                0.37673,                 0.8454,                0.93474,                      1,                  0.995,                0.92072,                0.43493,                0.40854,                0.86613,             0.00093385,             0.00093385,             0.00093385
                    143,                0.39853,                0.38539,                0.83427,                0.93701,                      1,                 0.9925,                0.90001,                0.44678,                0.40875,                0.86975,             0.00093031,             0.00093031,             0.00093031
                    144,                0.39001,                0.37845,                0.85836,                0.97802,                0.95584,                 0.9925,                0.89543,                0.44166,                0.38043,                0.87243,             0.00092678,             0.00092678,             0.00092678
                    145,                0.39807,                0.38174,                0.84282,                0.99573,                0.96192,                 0.9925,                0.89785,                0.44937,                0.36482,                0.87701,             0.00092324,             0.00092324,             0.00092324
                    146,                0.42513,                0.40124,                0.84689,                0.98658,                0.95267,                 0.9925,                0.89611,                0.46464,                0.38447,                0.88129,              0.0009197,              0.0009197,              0.0009197
                    147,                0.40587,                0.39518,                0.85448,                0.98059,                0.93751,                0.99038,                0.89777,                0.45566,                0.39737,                0.88314,             0.00091617,             0.00091617,             0.00091617
                    148,                0.38063,                0.36783,                0.84629,                0.97891,                0.93327,                0.99038,                0.87947,                0.46534,                0.40825,                0.89513,             0.00091263,             0.00091263,             0.00091263
                    149,                0.38732,                0.37448,                0.84779,                0.90999,                 0.9697,                0.98334,                0.87872,                0.47679,                0.41738,                0.89898,             0.00090909,             0.00090909,             0.00090909
                    150,                0.40218,                0.38622,                0.84484,                0.90997,                 0.9697,                0.97966,                0.86542,                0.50032,                0.43846,                0.91307,             0.00090556,             0.00090556,             0.00090556
                    151,                0.40899,                0.38196,                0.84355,                0.90417,                0.93939,                0.95287,                0.83921,                0.54355,                0.45219,                0.94005,             0.00090202,             0.00090202,             0.00090202
                    152,                0.42788,                0.39087,                0.87268,                0.93467,                 0.9697,                   0.96,                0.86886,                0.51443,                0.42604,                0.92957,             0.00089848,             0.00089848,             0.00089848
                    153,                0.41107,                0.39107,                0.86952,                0.95222,                      1,                   0.99,                0.87948,                0.47585,                 0.3948,                0.90895,             0.00089495,             0.00089495,             0.00089495
                    154,                0.39747,                0.37604,                0.85285,                 0.9427,                0.96189,                0.98766,                0.87476,                0.47232,                0.39139,                0.90015,             0.00089141,             0.00089141,             0.00089141
                    155,                0.37616,                0.36762,                0.84662,                0.92011,                0.93939,                 0.9513,                0.87528,                0.51487,                0.40252,                0.91387,             0.00088787,             0.00088787,             0.00088787
                    156,                0.40254,                 0.3822,                0.84938,                0.93259,                0.93939,                0.95222,                0.85703,                0.52327,                0.41609,                0.90407,             0.00088434,             0.00088434,             0.00088434
                    157,                0.41287,                0.37686,                0.83957,                0.92747,                0.93939,                0.95211,                 0.8583,                0.52504,                0.41441,                 0.9186,              0.0008808,              0.0008808,              0.0008808
                    158,                0.41467,                0.38082,                0.87415,                0.91637,                0.93939,                0.95218,                0.87146,                0.50632,                0.40854,                0.91622,             0.00087726,             0.00087726,             0.00087726
                    159,                0.37788,                0.35563,                0.84475,                0.92074,                0.93939,                0.95099,                0.86612,                0.54259,                0.42084,                0.93942,             0.00087373,             0.00087373,             0.00087373
                    160,                0.38851,                0.36335,                0.85258,                0.92664,                0.93939,                  0.942,                0.83561,                0.55067,                0.42312,                0.93351,             0.00087019,             0.00087019,             0.00087019
                    161,                0.36135,                0.34991,                0.85527,                0.92993,                0.93939,                 0.9384,                0.81065,                0.57595,                0.42507,                0.96513,             0.00086665,             0.00086665,             0.00086665
                    162,                0.38027,                0.34794,                0.84794,                0.93043,                0.93344,                0.93775,                0.80397,                0.55136,                 0.4427,                0.95778,             0.00086312,             0.00086312,             0.00086312
                    163,                0.40744,                0.36465,                0.87223,                0.92045,                0.88738,                0.92367,                0.83197,                0.50595,                0.45363,                0.93246,             0.00085958,             0.00085958,             0.00085958
                    164,                0.32901,                0.33801,                0.83183,                0.92645,                0.95584,                0.96918,                0.83633,                0.49929,                0.45291,                0.91962,             0.00085604,             0.00085604,             0.00085604
                    165,                0.39856,                0.35999,                0.84016,                0.93085,                0.93892,                0.95347,                0.82791,                0.49901,                0.46201,                0.91406,             0.00085251,             0.00085251,             0.00085251
                    166,                0.35373,                0.35437,                0.83369,                0.92519,                0.91682,                0.95906,                0.84648,                0.50265,                0.45166,                0.90934,             0.00084897,             0.00084897,             0.00084897
                    167,                0.36159,                0.34445,                0.82181,                0.95212,                0.90909,                 0.9687,                0.85958,                0.50855,                0.43042,                0.91874,             0.00084543,             0.00084543,             0.00084543
                    168,                0.37021,                 0.3558,                0.83898,                0.96357,                0.91303,                0.98237,                 0.8604,                0.50192,                0.41852,                 0.9119,              0.0008419,              0.0008419,              0.0008419
                    169,                0.35453,                 0.3533,                0.84732,                 0.9776,                 0.9131,                0.98333,                0.86027,                0.49647,                0.41116,                0.90461,             0.00083836,             0.00083836,             0.00083836
                    170,                0.39598,                0.36985,                0.83696,                0.97967,                0.91006,                0.98563,                0.86925,                0.48717,                0.42044,                0.89649,             0.00083482,             0.00083482,             0.00083482
                    171,                0.41904,                0.37229,                0.85333,                0.97742,                0.90623,                0.98563,                0.87903,                0.48796,                0.44596,                0.89632,             0.00083129,             0.00083129,             0.00083129
                    172,                0.39384,                 0.3645,                0.85546,                 0.9537,                0.95256,                0.98563,                0.86447,                0.50136,                0.44498,                0.90756,             0.00082775,             0.00082775,             0.00082775
                    173,                0.38113,                0.35735,                0.85351,                 0.9632,                0.97928,                 0.9925,                0.83859,                0.51404,                0.42809,                0.91219,             0.00082421,             0.00082421,             0.00082421
                    174,                0.38799,                0.34623,                 0.8539,                0.93243,                0.97582,                 0.9875,                0.84144,                0.53332,                0.43497,                0.92166,             0.00082067,             0.00082067,             0.00082067
                    175,                0.36836,                0.34406,                0.83478,                0.92285,                0.98292,                 0.9875,                0.84998,                0.53959,                0.43229,                0.93281,             0.00081714,             0.00081714,             0.00081714
                    176,                0.38137,                 0.3521,                0.83455,                0.92309,                 0.9847,                 0.9875,                0.84363,                0.52021,                0.42792,                0.92503,              0.0008136,              0.0008136,              0.0008136
                    177,                0.35374,                0.33321,                0.83653,                0.93301,                0.98233,                 0.9875,                0.84321,                0.51065,                0.41272,                 0.9216,             0.00081006,             0.00081006,             0.00081006
                    178,                0.37195,                0.33849,                0.84604,                0.93395,                0.98695,                 0.9875,                0.83334,                0.51207,                0.41923,                0.91749,             0.00080653,             0.00080653,             0.00080653
                    179,                0.36019,                0.34785,                0.82949,                0.91965,                0.98278,                 0.9875,                0.85166,                0.50163,                0.43986,                0.90195,             0.00080299,             0.00080299,             0.00080299
                    180,                0.38161,                0.35295,                0.83405,                0.94244,                0.98062,                 0.9925,                0.84268,                0.50637,                 0.4549,                0.90646,             0.00079945,             0.00079945,             0.00079945
                    181,                0.36467,                0.33471,                0.85145,                0.92056,                0.94959,                0.98577,                0.83091,                0.51388,                0.43285,                 0.9127,             0.00079592,             0.00079592,             0.00079592
                    182,                0.36208,                0.32934,                0.84168,                0.92073,                0.94553,                0.98577,                0.82584,                 0.5126,                0.42368,                 0.9144,             0.00079238,             0.00079238,             0.00079238
                    183,                0.38863,                0.35137,                0.85976,                0.91531,                0.94327,                0.98357,                0.83204,                0.51729,                0.42172,                0.91035,             0.00078884,             0.00078884,             0.00078884
                    184,                0.39238,                0.35342,                0.85839,                0.94691,                0.90134,                0.96347,                 0.8309,                0.53228,                0.41678,                0.91218,             0.00078531,             0.00078531,             0.00078531
                    185,                0.35518,                0.33643,                0.83376,                0.90215,                 0.9697,                0.96464,                0.83377,                 0.5355,                0.41733,                0.90901,             0.00078177,             0.00078177,             0.00078177
                    186,                  0.357,                0.33699,                0.83648,                0.97186,                0.86782,                0.95562,                0.83973,                0.51822,                0.41207,                0.90535,             0.00077823,             0.00077823,             0.00077823
                    187,                0.38381,                0.35527,                0.87897,                0.92842,                0.90909,                0.96204,                0.81462,                0.52287,                0.40995,                0.91717,              0.0007747,              0.0007747,              0.0007747
                    188,                0.36017,                0.35005,                 0.8354,                0.94115,                 0.9304,                0.95078,                0.83033,                0.54598,                0.40522,                0.94498,             0.00077116,             0.00077116,             0.00077116
                    189,                0.36984,                0.33486,                0.84027,                0.95348,                0.90909,                 0.9478,                0.83501,                0.54375,                0.40244,                0.94913,             0.00076762,             0.00076762,             0.00076762
                    190,                0.38521,                0.35322,                0.85878,                0.95876,                0.91491,                0.95016,                0.85466,                0.52409,                  0.401,                0.93357,             0.00076409,             0.00076409,             0.00076409
                    191,                0.35382,                0.33259,                0.82836,                0.97597,                0.90493,                0.95201,                 0.8624,                0.50872,                0.40504,                0.92275,             0.00076055,             0.00076055,             0.00076055
                    192,                0.35173,                0.33554,                0.84179,                0.97559,                0.89911,                 0.9514,                0.86011,                0.50997,                0.40166,                0.91691,             0.00075701,             0.00075701,             0.00075701
                    193,                0.37915,                0.33536,                0.83788,                0.94333,                 0.9281,                0.95482,                0.86424,                0.51257,                0.41158,                0.91051,             0.00075348,             0.00075348,             0.00075348
                    194,                0.35995,                0.31619,                0.83344,                0.96949,                0.91011,                0.95797,                0.87989,                0.48713,                 0.4084,                 0.8993,             0.00074994,             0.00074994,             0.00074994
                    195,                0.36186,                0.33103,                0.83907,                0.94814,                 0.9239,                0.95868,                0.87198,                 0.4816,                0.40282,                0.89397,              0.0007464,              0.0007464,              0.0007464
                    196,                0.36807,                0.33113,                0.84244,                0.98505,                0.88684,                0.96368,                0.86119,                0.49783,                0.41978,                0.90242,             0.00074287,             0.00074287,             0.00074287
                    197,                0.36502,                0.34049,                0.83242,                 0.9836,                0.88619,                0.96305,                0.87007,                0.50975,                0.43656,                0.90737,             0.00073933,             0.00073933,             0.00073933
                    198,                 0.3585,                0.32077,                0.84727,                0.98625,                0.88796,                0.96633,                0.87894,                0.47927,                0.40444,                0.89159,             0.00073579,             0.00073579,             0.00073579
                    199,                0.35272,                0.31896,                0.83747,                0.98012,                0.89163,                0.96239,                0.88432,                0.46384,                0.38471,                0.88413,             0.00073226,             0.00073226,             0.00073226
                    200,                0.37316,                0.33966,                0.84605,                0.97385,                0.89768,                0.96404,                 0.8736,                0.46767,                0.37769,                0.88322,             0.00072872,             0.00072872,             0.00072872
                    201,                0.35508,                0.32065,                0.83833,                0.99543,                0.93225,                0.98788,                 0.8707,                0.47008,                0.38731,                0.88364,             0.00072518,             0.00072518,             0.00072518
                    202,                0.33675,                 0.3115,                0.83254,                0.99458,                0.93097,                0.98788,                 0.8805,                0.46185,                 0.3793,                   0.88,             0.00072164,             0.00072164,             0.00072164
                    203,                0.33744,                0.32975,                0.83475,                0.97501,                0.87879,                0.97927,                0.90338,                0.43643,                0.36314,                0.87438,             0.00071811,             0.00071811,             0.00071811
                    204,                0.33914,                0.31302,                0.83733,                0.96785,                0.90144,                0.98123,                0.90473,                0.41752,                0.35794,                0.86902,             0.00071457,             0.00071457,             0.00071457
                    205,                0.37201,                0.33905,                0.84043,                0.87579,                0.99497,                0.98357,                0.90643,                0.42602,                  0.377,                0.87002,             0.00071103,             0.00071103,             0.00071103
                    206,                0.34807,                0.31697,                0.84229,                0.96351,                 0.9697,                0.98357,                0.89558,                0.43944,                0.38706,                0.87287,              0.0007075,              0.0007075,              0.0007075
                    207,                0.34614,                0.32262,                0.83147,                0.96267,                 0.9697,                0.99038,                0.90236,                0.42853,                0.37413,                0.86948,             0.00070396,             0.00070396,             0.00070396
                    208,                 0.3497,                0.32012,                0.84074,                0.97486,                 0.9697,                 0.9925,                0.91605,                0.41114,                0.34974,                0.86424,             0.00070042,             0.00070042,             0.00070042
                    209,                0.36628,                0.33661,                0.83713,                0.97546,                0.95434,                0.99038,                 0.9101,                0.41266,                0.32219,                0.86107,             0.00069689,             0.00069689,             0.00069689
                    210,                0.33529,                0.31982,                0.82305,                0.96781,                 0.9697,                 0.9925,                0.89321,                 0.4367,                0.34106,                0.86525,             0.00069335,             0.00069335,             0.00069335
                    211,                0.37721,                0.32495,                0.85065,                0.96432,                 0.9853,                  0.995,                0.89536,                0.45194,                0.34363,                0.86922,             0.00068981,             0.00068981,             0.00068981
                    212,                 0.3822,                0.32911,                 0.8394,                 0.9812,                0.95933,                0.99038,                0.89737,                0.43427,                0.33456,                0.86434,             0.00068628,             0.00068628,             0.00068628
                    213,                0.35848,                0.33269,                0.86324,                0.98975,                 0.9477,                 0.9925,                0.89614,                 0.4208,                0.33384,                0.86624,             0.00068274,             0.00068274,             0.00068274
                    214,                0.33868,                0.31812,                0.82573,                0.98484,                0.93939,                0.98766,                0.89017,                 0.4177,                0.32779,                0.86997,              0.0006792,              0.0006792,              0.0006792
                    215,                0.34625,                0.32087,                0.83035,                0.98644,                0.93939,                0.98766,                0.89593,                0.42364,                0.33854,                 0.8732,             0.00067567,             0.00067567,             0.00067567
                    216,                0.33586,                0.31352,                0.84336,                0.98517,                 0.9666,                0.99038,                0.87963,                0.44113,                0.34012,                 0.8809,             0.00067213,             0.00067213,             0.00067213
                    217,                 0.3237,                0.31081,                0.82121,                0.98544,                 0.9673,                 0.9925,                0.88349,                0.44662,                0.33121,                0.88717,             0.00066859,             0.00066859,             0.00066859
                    218,                0.36677,                0.32725,                0.85828,                0.98384,                0.96372,                0.99038,                0.89417,                0.44584,                0.32942,                0.88999,             0.00066506,             0.00066506,             0.00066506
                    219,                0.33514,                0.31313,                  0.826,                0.97072,                0.96253,                 0.9925,                0.91031,                0.44703,                 0.3445,                0.89177,             0.00066152,             0.00066152,             0.00066152
                    220,                0.33716,                0.30851,                0.82542,                0.96591,                0.96388,                 0.9925,                0.90253,                0.46266,                0.34956,                0.89489,             0.00065798,             0.00065798,             0.00065798
                    221,                0.35566,                0.32144,                0.85002,                0.94265,                0.99553,                  0.995,                0.89695,                0.46737,                0.34356,                0.89326,             0.00065445,             0.00065445,             0.00065445
                    222,                0.33399,                0.31385,                 0.8342,                0.96881,                 0.9736,                  0.995,                0.90092,                0.46892,                0.32661,                0.89186,             0.00065091,             0.00065091,             0.00065091
                    223,                0.35233,                0.31726,                0.83695,                0.97628,                0.97855,                  0.995,                0.90255,                 0.4702,                 0.3204,                0.89228,             0.00064737,             0.00064737,             0.00064737
                    224,                0.34717,                0.31642,                0.81651,                0.97993,                0.97532,                  0.995,                0.89728,                0.47688,                0.32465,                0.89322,             0.00064384,             0.00064384,             0.00064384
                    225,                0.35001,                0.31021,                0.83073,                0.98229,                0.97526,                  0.995,                0.88593,                0.48692,                0.31851,                 0.8927,              0.0006403,              0.0006403,              0.0006403
                    226,                0.36787,                0.32824,                0.84455,                0.98187,                0.97734,                  0.995,                0.89036,                  0.493,                0.31696,                0.89248,             0.00063676,             0.00063676,             0.00063676
                    227,                0.33478,                0.30039,                0.83517,                0.98799,                0.96466,                 0.9925,                 0.8948,                 0.4928,                0.31403,                0.89356,             0.00063323,             0.00063323,             0.00063323
                    228,                0.33144,                 0.3077,                0.82453,                 0.9905,                0.96482,                 0.9925,                0.87866,                0.49887,                0.32352,                0.89884,             0.00062969,             0.00062969,             0.00062969
                    229,                0.33422,                0.30609,                0.83258,                 0.9902,                0.96485,                 0.9925,                0.87188,                0.49415,                0.32772,                0.89831,             0.00062615,             0.00062615,             0.00062615
                    230,                0.34883,                0.31349,                0.84889,                 0.9875,                0.96514,                 0.9925,                0.87531,                0.48947,                0.31802,                0.89341,             0.00062262,             0.00062262,             0.00062262
                    231,                0.33647,                0.30784,                0.83959,                0.97408,                      1,                  0.995,                0.89307,                0.47644,                0.30865,                0.88743,             0.00061908,             0.00061908,             0.00061908
                    232,                0.32401,                0.29644,                0.82897,                0.97303,                      1,                  0.995,                0.89853,                0.46026,                0.30942,                0.88414,             0.00061554,             0.00061554,             0.00061554
                    233,                 0.2981,                0.29778,                 0.8188,                0.98739,                0.96382,                 0.9925,                0.89085,                0.46301,                0.30938,                0.88434,               0.000612,               0.000612,               0.000612
                    234,                0.34498,                0.31451,                0.85539,                0.98792,                0.99911,                  0.995,                 0.8912,                0.46654,                 0.3021,                 0.8796,             0.00060847,             0.00060847,             0.00060847
                    235,                0.32527,                0.30354,                0.82804,                0.95682,                      1,                 0.9925,                0.88843,                0.45716,                0.30324,                0.87443,             0.00060493,             0.00060493,             0.00060493
                    236,                0.34024,                0.31663,                0.84006,                0.95427,                0.99664,                 0.9925,                0.89246,                0.46686,                0.30319,                0.88368,             0.00060139,             0.00060139,             0.00060139
                    237,                  0.354,                0.31435,                 0.8405,                0.99016,                      1,                  0.995,                0.89932,                0.46382,                0.29781,                0.89078,             0.00059786,             0.00059786,             0.00059786
                    238,                0.36158,                0.32015,                0.84001,                0.99182,                      1,                  0.995,                0.90022,                0.45891,                 0.2971,                0.89306,             0.00059432,             0.00059432,             0.00059432
                    239,                0.30583,                0.29757,                0.82752,                0.95967,                 0.9697,                0.96586,                0.89563,                0.45253,                 0.2973,                0.89335,             0.00059078,             0.00059078,             0.00059078
                    240,                0.30415,                0.28948,                 0.8124,                0.95878,                 0.9697,                0.97964,                0.90235,                0.47456,                0.30578,                0.89909,             0.00058725,             0.00058725,             0.00058725
                    241,                0.31884,                0.30946,                0.82088,                0.95605,                0.96979,                   0.99,                0.89671,                 0.4747,                0.30384,                0.89718,             0.00058371,             0.00058371,             0.00058371
